,RandomForestClassifier,GradientBoostingClassifier,LogisticRegression,LinearSVC,NuSVC,KNeighborsClassifier,cnn_model,dense_model,lstm_model,GaussianNB
Score,0.6178343949044586,0.6331210191082802,0.627176220806794,0.6118895966029724,0.6093418259023354,0.5316348195329087,0.5426751592356688,0.6008492569002123,0.5511677282377919,0.5070063694267516
Accuracy,0.6178343949044586,0.6331210191082802,0.627176220806794,0.6118895966029724,0.6093418259023354,0.5316348195329087,0.5426751592356688,0.6008492569002123,0.5511677282377919,0.5070063694267516
Precision,0.5980674255198507,0.6135797060264544,0.6036324702015302,0.5893220026774668,0.5880052902728612,0.49700389954277757,0.5255957806879766,0.5844924698414963,0.5488151940920374,0.5406260618571407
Recall,0.6178343949044586,0.6331210191082802,0.627176220806794,0.6118895966029724,0.6093418259023354,0.5316348195329087,0.5426751592356688,0.6008492569002123,0.5511677282377919,0.5070063694267516
F1-score,0.5953155168252138,0.6039776135246288,0.5880709406258207,0.5359922906976147,0.5882818550405564,0.49334750746870115,0.5315452420405448,0.5886399457913768,0.5499446316873076,0.5158764419644407
